titulo|autores|isbn|calificacion_promedio
The Moon is a Harsh Mistress|Robert A. Heinlein|0312863551|4.17
Stranger in a Strange Land|Robert A. Heinlein|0441788386|3.92
The Notebooks of Lazarus Long|Robert A. Heinlein-Stephen Hickman|074348844X|4.07
To Sail Beyond the Sunset|Robert A. Heinlein|0441748600|3.87
Job: A Comedy of Justice|Robert A. Heinlein|0345316509|3.78
Time for the Stars (Heinlein's Juveniles  #10)|Robert A. Heinlein|0765314932|3.97
The Long Dark Tea-Time of the Soul (Dirk Gently  #2)|Douglas Adams|0671742515|4.06
The Salmon of Doubt (Dirk Gently  #3)|Douglas Adams|0345455290|3.92
Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5)|Douglas Adams|0345418778|3.97
Wish You Were Here: The Official Biography of Douglas Adams|Nick  Webb|0345476514|4.14
Douglas Adams's Starship Titanic|Terry Jones|0345368436|3.6
Salmon of Doubt: Hitchhiking the Galaxy One Last Time|Douglas Adams-Christopher Cerf|1417622857|3.92
The Phantom Tollbooth|Norton Juster-Jules Feiffer|0394820371|4.21
The Phantom Tollbooth: A Children's Play in Two Acts|Susan Nanus-Norton Juster|0573650969|4.1
On Bullshit|Harry G. Frankfurt|0691122946|3.57
Another Bullshit Night in Suck City|Nick Flynn|0393329402|3.78
Lincoln at Gettysburg: The Words That Remade America|Garry Wills|0671867423|4.13
The Gettysburg Address|Abraham Lincoln-Michael McCurdy|0395883970|4.53
Underworld|Don DeLillo|0684848155|3.92
Libra|Don DeLillo|0140156046|3.99
Mao II|Don DeLillo|0140152741|3.68
Americana|Don DeLillo|0140119485|3.43
Running Dog|Don DeLillo|0679722947|3.42
Cosmopolis|Don DeLillo|0743244257|3.22
Great Jones Street|Don DeLillo|0140179178|3.48
The Names|Don DeLillo|0679722955|3.64
Against the Day|Thomas Pynchon|159420120X|4.12
V.|Thomas Pynchon|0060930217|3.96
The Crying of Lot 49|Thomas Pynchon|0060931671|3.7
Gravity's Rainbow|Thomas Pynchon|0140283382|4.02
Mason & Dixon|Thomas Pynchon|0312423209|4.06
Vineland|Thomas Pynchon|0141180633|3.68
Gravity's Rainbow|Thomas Pynchon|0143039946|4.02
Slow Learner: Early Stories|Thomas Pynchon|0316724432|3.5
Been Down So Long It Looks Like Up To Me|Richard Fariña-Thomas Pynchon|0140189300|3.81
The Year of Magical Thinking|Joan Didion|140004314X|3.88
The White Album|Joan Didion|0374522219|4.17
A Book of Common Prayer|Joan Didion|0679754865|3.8
Where I Was From|Joan Didion|0679752862|3.86
Democracy|Joan Didion|0679754857|3.81
We Tell Ourselves Stories in Order to Live: Collected Nonfiction|Joan Didion-John Leonard|0307264874|4.49
Play It as It Lays|Joan Didion-David Thomson|0374529949|3.87
The New York Trilogy|Paul Auster-Art Spiegelman-Luc Sante|0143039830|3.9
City of Glass (The New York Trilogy  #1)|Paul Auster|0140097317|3.79
Ghosts (The New York Trilogy  #2)|Paul Auster|014009735X|3.65
The Locked Room (The New York Trilogy  #3)|Paul Auster|0940650762|3.89
Pyramids of Montauk: Explorations in Consciousness|Peter Moon-Preston B. Nichols-Nina Helms|0963188925|3.91
The Brooklyn Follies|Paul Auster|0312426232|3.83
Moon Palace|Paul Auster|0140115854|3.98
Timbuktu|Paul Auster|0312263996|3.68
Neon Lit: Paul Auster's City of Glass|Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan|038077108X|3.92
The Music of Chance|Paul Auster|0140154078|3.9
Travels in the Scriptorium|Paul Auster|0805081453|3.23
Leviathan|Paul Auster|0140178139|3.95
The Red Notebook: True Stories|Paul Auster|0811214982|3.77
Timbuktu / Leviathan / Moon Palace|Paul Auster|2742741461|4.4
Why Write?|Paul Auster|1886224145|3.77
Collapse: How Societies Choose to Fail or Succeed|Jared Diamond|0143036556|3.93
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel|Stephen Leeb-Glen C. Strathy|0446579785|3.39
Collapse of Complex Societies|Joseph A. Tainter|052138673X|4.13
Bowling Alone: The Collapse and Revival of American Community|Robert D. Putnam|0743203046|3.79
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom|Philip K. Howard|034543871X|3.92
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America|Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco|0393318281|4.39
My Inventions|Nikola Tesla|1599869942|4.01
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius|Marc J.  Seifer-William H. Terbo|0806519606|3.77
Nikola Tesla: A Spark of Genius|Carol Dommermuth-Costa|0822549204|3.95
Tesla Papers|Nikola Tesla-David Hatcher Childress|0932813860|4.12
The Invention of Tradition|Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn|0521437733|3.96
Boys of Summer|Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye|0373792689|3.77
Programming Ruby: The Pragmatic Programmers' Guide|Dave Thomas-Chad Fowler-Andy Hunt|0974514055|4.04
Golding's Lord of the Flies (Cliffs Notes)|Maureen Kelly-CliffsNotes-William Golding|0764585975|3.92
Lord of the Flies|William Golding|0307281701|3.67
Lord of the Flies|William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein|0399529209|3.67
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War|Victor Davis Hanson|0812969707|4.11
We Were Not Like Other People|Ephraim Sevela-Antonina W. Bouis|0060255080|4.15
The Lovely Bones|Alice Sebold|0330485385|3.79
The Lovely Bones|Alice Sebold|159413023X|3.79
Lovely in Her Bones (Elizabeth MacPherson  #2)|Sharyn McCrumb|0345360354|3.81
The Zen of CSS Design: Visual Enlightenment for the Web|Dave Shea-Molly E. Holzschlag|0321303474|4.0
HTML  XHTML  and CSS (Visual Quickstart Guide)|Elizabeth Castro|0321430840|3.8
1000 Record Covers|Michael Ochs-Patrick Javault-Ulrike Wasel|3822840858|3.84
Killing Yourself to Live: 85% of a True Story|Chuck Klosterman|0743264460|3.83
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto|Chuck Klosterman|0743236017|3.74
Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market|Eric Schlosser|0965762645|3.77
Vice (V  #8)|Jane Feather|0553572490|3.51
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|Robert M. Pirsig|0060589469|3.77
Once Upon a Cool Motorcycle Dude|Kevin O'Malley-Carol Heyer-Scott Goto|0802789471|4.08
Guidebook to Zen and the Art of Motorcycle Maintenance|Ronald L. DiSanto-Thomas J. Steele|0688060692|3.72
Motorcycle Basics Techbook|John Harold Haynes|185960515X|3.83
LOGO Lounge: 2 000 International Identities by Leading Designers|Catharine M. Fishel-Bill Gardner|1592530877|3.96
The Death of Ivan Ilych And Other Stories|Leo Tolstoy-Hugh McLean|0451528808|4.1
War and Peace|Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude|0192833987|4.11
The Kingdom of God Is Within You|Leo Tolstoy-Constance Garnett|0486451380|4.13
Hunters Of Dune (Dune Chronicles  #7)|Brian Herbert-Kevin J. Anderson|0340837489|3.65
Atlas Shrugged|Ayn Rand-Leonard Peikoff|0452011876|3.68
For the New Intellectual: The Philosophy of Ayn Rand|Ayn Rand|0451163087|3.68
The Fountainhead|Ayn Rand|0452286751|3.86
The Virtue of Selfishness: A New Concept of Egoism|Ayn Rand-Nathaniel Branden|0451163931|3.5
